GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "00000","United States", ,MAIRPD,1,"...","Implicit regional price deflator ","Index",89.170,88.921,90.514,92.804,94.534,95.781,97.121,97.299,98.284,100.000,102.047,103.509,104.666,108.972,116.100,120.511,123.666
 "00999","United States (Nonmetropolitan Portion) *", ,MAIRPD,1,"...","Implicit regional price deflator ","Index",77.264,77.383,80.382,82.248,83.947,85.287,86.345,86.299,86.392,87.557,91.132,92.503,92.443,96.864,102.835,106.467,109.691
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,MAIRPD,1,"...","Implicit regional price deflator ","Index",82.212,79.522,84.215,85.857,88.959,88.634,91.867,90.373,91.696,93.741,94.154,95.662,94.505,99.901,106.262,108.935,111.750
 "10420","Akron, OH (Metropolitan Statistical Area)", ,MAIRPD,1,"...","Implicit regional price deflator ","Index",82.484,84.632,84.356,87.266,90.265,91.214,92.184,92.942,93.534,95.311,96.237,98.025,97.883,101.920,106.953,111.983,115.467
 "10500","Albany, GA (Metropolitan Statistical Area)", ,MAIRPD,1,"...","Implicit regional price deflator ","Index",77.114,76.146,79.020,81.425,82.634,84.392,85.915,85.649,87.776,87.259,88.246,87.113,87.738,97.334,99.985,104.231,108.417
 "10540","Albany, OR (Metropolitan Statistical Area)", ,MAIRPD,1,"...","Implicit regional price deflator ","Index",88.566,88.914,87.789,89.308,91.314,92.774,95.915,96.066,97.209,98.794,105.336,106.596,107.489,111.080,121.497,126.223,126.263
 "10580","Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)", ,MAIRPD,1,"...","Implicit regional price deflator ","Index",91.351,90.563,90.186,93.324,94.019,97.357,96.338,97.889,99.343,100.618,101.904,102.923,103.617,107.877,112.132,118.314,123.129
 "10740","Albuquerque, NM (Metropolitan Statistical Area)", ,MAIRPD,1,"...","Implicit regional price deflator ","Index",86.471,88.071,88.188,93.209,94.143,94.192,95.645,94.142,94.952,98.123,95.841,98.408,98.562,100.367,108.409,112.830,118.158
 "10780","Alexandria, LA (Metropolitan Statistical Area)", ,MAIRPD,1,"...","Implicit regional price deflator ","Index",79.970,76.630,80.620,80.743,85.373,87.681,88.169,87.853,90.565,90.526,89.247,92.227,91.336,97.333,99.872,104.270,105.965
 "10900","Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)", ,MAIRPD,1,"...","Implicit regional price deflator ","Index",90.117,91.044,91.495,92.658,94.444,96.512,96.639,98.222,99.363,101.692,101.219,102.626,104.357,106.911,113.857,119.161,123.626
 "11020","Altoona, PA (Metropolitan Statistical Area)", ,MAIRPD,1,"...","Implicit regional price deflator ","Index",83.720,81.572,84.836,86.733,87.227,88.861,86.744,90.009,89.915,91.170,93.205,93.896,93.917,97.257,103.371,106.844,110.690
 "11100","Amarillo, TX (Metropolitan Statistical Area)", ,MAIRPD,1,"...","Implicit regional price deflator ","Index",85.434,83.180,86.007,89.475,90.921,92.411,93.563,94.382,95.543,96.142,95.122,97.452,98.886,101.874,106.279,110.117,113.550
 "11180","Ames, IA (Metropolitan Statistical Area)", ,MAIRPD,1,"...","Implicit regional price deflator ","Index",73.495,80.073,84.103,85.099,87.264,90.463,90.241,87.585,87.206,89.726,95.818,99.288,97.451,99.698,102.614,110.225,109.852
 "11200","Amherst Town-Northampton, MA (Metropolitan Statistical Area)", ,MAIRPD,1,"...","Implicit regional price deflator ","Index",88.904,92.194,87.486,92.894,93.908,95.756,96.467,100.327,98.017,102.315,102.846,102.169,106.542,107.832,117.323,123.904,123.967
 "11260","Anchorage, AK (Metropolitan Statistical Area)", ,MAIRPD,1,"...","Implicit regional price deflator ","Index",94.935,99.385,96.123,99.034,101.311,101.950,101.838,102.808,106.218,107.808,108.626,108.480,108.002,116.372,119.772,128.671,130.369
 "11460","Ann Arbor, MI (Metropolitan Statistical Area)", ,MAIRPD,1,"...","Implicit regional price deflator ","Index",92.409,90.076,91.542,93.145,95.342,95.913,99.619,97.513,96.701,98.536,101.331,104.202,103.151,108.422,113.637,118.281,124.755
 "11500","Anniston-Oxford, AL (Metropolitan Statistical Area)", ,MAIRPD,1,"...","Implicit regional price deflator ","Index",78.667,74.234,80.411,84.379,85.805,86.596,87.132,88.680,89.272,88.604,86.886,90.674,89.752,91.245,97.715,103.824,106.289
 "11540","Appleton, WI (Metropolitan Statistical Area)", ,MAIRPD,1,"...","Implicit regional price deflator ","Index",86.594,84.134,86.121,87.387,89.437,91.281,91.673,90.847,91.294,92.104,95.492,97.013,96.603,101.815,106.659,112.962,114.291
 "11700","Asheville, NC (Metropolitan Statistical Area)", ,MAIRPD,1,"...","Implicit regional price deflator ","Index",84.147,81.941,84.790,87.471,89.865,91.181,92.634,91.683,94.858,94.936,95.884,98.179,98.466,104.393,111.045,117.368,119.345
 "12020","Athens-Clarke County, GA (Metropolitan Statistical Area)", ,MAIRPD,1,"...","Implicit regional price deflator ","Index",84.006,83.895,85.733,87.601,88.232,89.500,90.781,90.363,92.140,93.818,92.401,93.814,94.429,102.878,108.467,112.724,115.434
 "12060","Atlanta-Sandy Springs-Roswell, GA (Metropolitan Statistical Area)", ,MAIRPD,1,"...","Implicit regional price deflator ","Index",87.472,84.554,88.953,89.554,93.737,94.146,95.676,95.402,96.757,99.425,100.209,101.556,103.353,107.915,114.485,121.090,123.738
 "12100","Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)", ,MAIRPD,1,"...","Implicit regional price deflator ","Index",98.731,95.014,98.471,98.567,98.860,97.699,99.726,100.447,100.860,100.855,102.831,100.866,105.890,104.599,116.286,119.192,122.252
 "12220","Auburn-Opelika, AL (Metropolitan Statistical Area)", ,MAIRPD,1,"...","Implicit regional price deflator ","Index",79.593,77.609,80.419,84.611,85.424,86.493,88.192,85.729,88.190,88.656,90.234,93.169,92.822,97.122,102.355,105.518,108.743
 "12260","Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)", ,MAIRPD,1,"...","Implicit regional price deflator ","Index",81.197,80.535,83.500,86.919,88.344,89.309,89.829,90.711,92.009,92.406,93.305,93.424,93.862,100.139,106.523,109.959,113.652
 "12420","Austin-Round Rock-San Marcos, TX (Metropolitan Statistical Area)", ,MAIRPD,1,"...","Implicit regional price deflator ","Index",88.803,87.932,90.298,93.092,95.428,96.525,98.448,98.812,100.807,101.754,101.044,102.846,105.827,108.943,114.719,118.434,121.274
