GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "00000","United States", ,MARPP,1,"...","RPPs: All items ","Index",100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000
 "00999","United States (Nonmetropolitan Portion) *", ,MARPP,1,"...","RPPs: All items ","Index",86.648,87.025,88.806,88.625,88.801,89.044,88.904,88.694,87.900,87.557,89.303,89.367,88.321,88.888,88.574,88.347,88.699
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,MARPP,1,"...","RPPs: All items ","Index",92.197,89.430,93.042,92.515,94.103,92.538,94.590,92.881,93.297,93.741,92.266,92.419,90.292,91.675,91.526,90.394,90.364
 "10420","Akron, OH (Metropolitan Statistical Area)", ,MARPP,1,"...","RPPs: All items ","Index",92.502,95.176,93.197,94.033,95.484,95.233,94.917,95.522,95.167,95.311,94.307,94.702,93.519,93.528,92.121,92.924,93.370
 "10500","Albany, GA (Metropolitan Statistical Area)", ,MARPP,1,"...","RPPs: All items ","Index",86.480,85.633,87.302,87.739,87.412,88.110,88.461,88.027,89.308,87.259,86.476,84.160,83.826,89.320,86.120,86.491,87.669
 "10540","Albany, OR (Metropolitan Statistical Area)", ,MARPP,1,"...","RPPs: All items ","Index",99.323,99.992,96.989,96.234,96.594,96.861,98.758,98.732,98.906,98.794,103.223,102.982,102.697,101.934,104.648,104.740,102.100
 "10580","Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)", ,MARPP,1,"...","RPPs: All items ","Index",102.446,101.846,99.638,100.561,99.456,101.646,99.193,100.607,101.077,100.618,99.860,99.434,98.997,98.995,96.582,98.177,99.566
 "10740","Albuquerque, NM (Metropolitan Statistical Area)", ,MARPP,1,"...","RPPs: All items ","Index",96.974,99.044,97.431,100.436,99.586,98.341,98.480,96.755,96.610,98.123,93.919,95.072,94.168,92.103,93.375,93.627,95.546
 "10780","Alexandria, LA (Metropolitan Statistical Area)", ,MARPP,1,"...","RPPs: All items ","Index",89.683,86.177,89.070,87.004,90.309,91.543,90.783,90.292,92.146,90.526,87.456,89.101,87.264,89.319,86.022,86.523,85.686
 "10900","Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)", ,MARPP,1,"...","RPPs: All items ","Index",101.062,102.387,101.084,99.843,99.905,100.764,99.504,100.948,101.097,101.692,99.188,99.147,99.704,98.108,98.067,98.880,99.968
