GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "00000","United States", ,SAIRPD,1,"...","Implicit regional price deflator ","Index",89.170,88.921,90.514,92.804,94.534,95.781,97.121,97.299,98.284,100.000,102.047,103.509,104.666,108.972,116.100,120.511,123.666
 "01000","Alabama",5,SAIRPD,1,"...","Implicit regional price deflator ","Index",79.273,78.060,81.266,83.533,85.609,86.513,87.578,87.317,89.055,90.065,89.167,91.402,91.655,95.963,102.192,107.371,109.844
 "02000","Alaska",8,SAIRPD,1,"...","Implicit regional price deflator ","Index",92.628,94.387,93.318,95.842,96.943,97.746,99.438,100.498,102.287,104.833,106.705,106.657,106.068,114.320,118.539,124.483,126.583
 "04000","Arizona",6,SAIRPD,1,"...","Implicit regional price deflator ","Index",91.403,91.469,91.019,91.952,92.691,94.287,95.124,95.222,96.930,97.915,99.375,101.210,103.832,105.268,116.091,121.405,124.503
 "05000","Arkansas",5,SAIRPD,1,"...","Implicit regional price deflator ","Index",78.555,76.795,80.160,82.951,84.508,85.717,86.822,86.609,87.766,88.561,88.928,90.823,92.279,96.878,100.906,104.616,107.512
 "06000","California",8,SAIRPD,1,"...","Implicit regional price deflator ","Index",99.175,98.432,99.296,101.623,103.671,105.039,106.761,107.695,108.070,110.998,114.172,115.033,117.167,121.960,130.719,135.207,136.924
 "08000","Colorado",7,SAIRPD,1,"...","Implicit regional price deflator ","Index",92.126,91.036,91.047,95.945,97.501,98.749,100.101,100.265,100.953,102.946,102.343,106.087,108.616,111.986,118.724,122.747,127.440
 "09000","Connecticut",1,SAIRPD,1,"...","Implicit regional price deflator ","Index",98.488,98.453,96.848,100.074,101.714,103.185,103.934,104.631,105.633,107.228,106.145,107.561,110.024,112.117,123.486,125.573,128.130
 "10000","Delaware",2,SAIRPD,1,"...","Implicit regional price deflator ","Index",89.841,90.768,91.912,93.213,94.124,94.462,96.838,95.269,96.788,98.499,101.283,102.292,101.307,106.167,113.787,119.015,123.429
 "11000","District of Columbia",2,SAIRPD,1,"...","Implicit regional price deflator ","Index",100.198,100.496,103.390,105.850,105.542,108.731,110.953,110.261,110.486,110.146,113.595,113.061,116.055,121.583,130.722,133.421,135.910
 "12000","Florida",5,SAIRPD,1,"...","Implicit regional price deflator ","Index",90.657,89.357,90.868,93.589,95.547,96.491,97.989,98.554,99.352,100.871,102.372,103.141,105.299,110.486,118.753,124.893,127.888
 "13000","Georgia",5,SAIRPD,1,"...","Implicit regional price deflator ","Index",84.046,81.678,85.602,86.925,90.089,90.865,92.228,92.159,93.361,95.275,96.773,97.704,98.887,104.301,111.083,116.285,119.082
 "15000","Hawaii",8,SAIRPD,1,"...","Implicit regional price deflator ","Index",97.884,100.227,99.166,102.028,102.469,107.580,107.412,108.492,108.015,110.466,113.199,115.689,118.566,122.664,129.044,132.204,135.972
 "16000","Idaho",7,SAIRPD,1,"...","Implicit regional price deflator ","Index",84.670,84.335,84.358,87.343,88.368,89.729,90.994,91.735,91.402,94.518,93.614,95.681,95.270,99.778,106.583,111.155,118.093
 "17000","Illinois",3,SAIRPD,1,"...","Implicit regional price deflator ","Index",89.451,90.350,92.123,94.633,95.429,95.948,96.826,96.232,97.791,100.254,102.471,102.943,104.997,110.412,117.499,119.006,123.614
 "18000","Indiana",3,SAIRPD,1,"...","Implicit regional price deflator ","Index",81.986,82.301,84.198,85.732,87.682,88.962,89.971,88.946,89.779,90.875,94.702,96.086,96.046,100.886,106.668,110.987,115.416
 "19000","Iowa",4,SAIRPD,1,"...","Implicit regional price deflator ","Index",77.891,79.807,82.493,83.367,85.830,87.019,88.351,87.110,87.905,89.213,93.676,95.026,94.838,97.825,102.576,106.976,108.532
 "20000","Kansas",4,SAIRPD,1,"...","Implicit regional price deflator ","Index",80.131,81.671,84.169,86.096,88.203,88.698,90.456,90.307,90.480,91.555,94.328,95.988,96.556,99.459,104.036,108.349,111.384
 "21000","Kentucky",5,SAIRPD,1,"...","Implicit regional price deflator ","Index",80.110,78.730,81.854,83.949,85.730,87.057,88.441,88.282,89.121,89.985,90.894,92.741,93.234,97.254,103.797,108.327,111.496
 "22000","Louisiana",5,SAIRPD,1,"...","Implicit regional price deflator ","Index",81.562,80.189,83.451,86.056,87.829,89.006,90.712,90.327,91.994,92.364,92.613,94.357,95.394,99.572,105.058,106.893,109.082
 "23000","Maine",1,SAIRPD,1,"...","Implicit regional price deflator ","Index",87.782,87.733,88.259,89.194,91.656,94.180,89.857,93.289,95.548,97.559,99.648,98.962,102.456,106.077,116.966,118.057,120.018
 "24000","Maryland",2,SAIRPD,1,"...","Implicit regional price deflator ","Index",97.025,98.174,98.133,101.474,101.546,103.947,104.774,104.999,105.383,106.750,108.487,108.774,111.361,115.619,121.778,126.057,129.799
 "25000","Massachusetts",1,SAIRPD,1,"...","Implicit regional price deflator ","Index",94.562,93.772,94.833,97.209,98.777,98.940,101.524,102.248,106.305,107.406,109.621,110.910,114.192,116.272,127.050,129.760,130.786
 "26000","Michigan",3,SAIRPD,1,"...","Implicit regional price deflator ","Index",85.474,85.404,87.062,88.338,89.788,91.175,92.724,91.182,92.030,92.727,96.452,98.705,98.837,102.741,108.658,113.637,118.988
 "27000","Minnesota",4,SAIRPD,1,"...","Implicit regional price deflator ","Index",86.310,87.766,88.330,90.240,92.062,93.345,95.477,95.040,95.524,96.739,101.638,102.224,102.328,107.225,113.148,118.464,121.960
 "28000","Mississippi",5,SAIRPD,1,"...","Implicit regional price deflator ","Index",78.538,76.151,79.928,82.496,83.730,85.150,86.399,85.880,86.971,87.737,87.921,89.563,89.577,93.958,101.397,104.593,107.532
 "29000","Missouri",4,SAIRPD,1,"...","Implicit regional price deflator ","Index",78.856,80.462,84.272,85.842,87.384,88.891,90.664,89.771,90.104,91.735,93.685,95.766,96.463,100.268,105.641,109.790,112.309
 "30000","Montana",7,SAIRPD,1,"...","Implicit regional price deflator ","Index",83.890,82.870,83.675,87.451,88.094,88.960,92.412,92.409,92.252,94.202,94.292,97.547,96.264,99.522,104.698,109.682,117.044
 "31000","Nebraska",4,SAIRPD,1,"...","Implicit regional price deflator ","Index",79.874,80.602,83.327,84.801,87.239,87.938,89.116,88.704,89.210,89.807,93.718,95.778,97.139,100.207,104.309,108.806,111.426
 "32000","Nevada",8,SAIRPD,1,"...","Implicit regional price deflator ","Index",90.267,91.637,91.220,94.855,96.034,95.627,96.329,95.929,95.524,99.854,98.196,102.306,101.727,103.912,111.849,117.933,123.640
 "33000","New Hampshire",1,SAIRPD,1,"...","Implicit regional price deflator ","Index",94.620,93.500,94.158,96.016,97.295,98.453,99.152,101.172,103.293,105.780,105.669,107.650,110.181,111.770,125.211,127.010,128.817
 "34000","New Jersey",2,SAIRPD,1,"...","Implicit regional price deflator ","Index",95.916,98.675,98.475,101.361,103.301,104.238,105.893,106.029,107.188,109.298,113.292,115.090,115.889,118.951,126.270,131.286,134.555
 "35000","New Mexico",6,SAIRPD,1,"...","Implicit regional price deflator ","Index",84.810,85.328,85.544,90.092,91.197,91.541,92.723,92.820,92.840,95.721,93.532,96.231,96.090,97.786,105.569,109.642,114.035
 "36000","New York",2,SAIRPD,1,"...","Implicit regional price deflator ","Index",99.298,98.699,99.333,102.862,103.632,105.094,105.719,106.623,108.197,109.988,111.749,113.266,115.269,119.395,124.875,129.961,133.461
 "37000","North Carolina",5,SAIRPD,1,"...","Implicit regional price deflator ","Index",82.436,81.151,84.086,86.838,88.398,89.777,91.125,91.060,92.192,93.025,94.796,95.090,95.608,102.144,109.150,113.760,116.650
