GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "00000","United States", ,SARPI,1,"..."," Real personal income (millions of constant (2017) dollars) 1/","Millions of constant 2017 dollars",13932319.4,13560629.2,13862567.5,14331132.5,14709774.5,14682820.3,15216230.2,15896447.7,16162029.4,16658962.0,17163074.0,17727562.0,18738626.4,19715224.4,19073844.4,19564400.0,20132944.0
 "01000","Alabama",5,SARPI,1,"..."," Real personal income (millions of constant (2017) dollars) 1/","Millions of constant 2017 dollars",199198.2,199669.6,199704.6,201259.2,201300.9,201057.7,205206.7,215065.1,214790.7,220317.2,231135.3,235829.8,252590.1,266978.0,257105.1,260500.6,269312.8
 "02000","Alaska",8,SARPI,1,"..."," Real personal income (millions of constant (2017) dollars) 1/","Millions of constant 2017 dollars",35505.2,35001.4,37959.5,39569.0,40280.7,39504.5,40924.0,41780.8,40448.8,40080.7,40871.3,41762.5,42897.5,42359.2,42901.3,42868.1,44609.1
 "04000","Arizona",6,SARPI,1,"..."," Real personal income (millions of constant (2017) dollars) 1/","Millions of constant 2017 dollars",244718.7,232375.6,237887.2,247435.9,255416.2,257019.6,267057.4,281366.8,289173.6,304305.2,318094.0,333846.6,361459.0,395881.5,375776.1,388295.5,401032.4
 "05000","Arkansas",5,SARPI,1,"..."," Real personal income (millions of constant (2017) dollars) 1/","Millions of constant 2017 dollars",117767.6,118635.8,117585.9,121265.3,126793.7,125232.1,130516.4,134891.0,136745.8,140148.5,145325.0,144940.8,154382.4,167035.5,162414.2,166040.2,170535.5
 "06000","California",8,SARPI,1,"..."," Real personal income (millions of constant (2017) dollars) 1/","Millions of constant 2017 dollars",1602831.7,1566312.4,1623646.0,1688432.8,1752833.7,1754787.3,1834208.0,1950467.9,2031874.1,2072501.7,2116099.3,2211945.4,2371052.9,2480586.7,2314340.1,2355848.6,2485266.8
 "08000","Colorado",7,SARPI,1,"..."," Real personal income (millions of constant (2017) dollars) 1/","Millions of constant 2017 dollars",228209.5,220156.7,226626.3,233665.2,242406.6,251274.1,268525.7,279424.9,281603.0,295376.1,321258.8,331925.1,345691.4,374187.2,378370.3,385731.1,388565.9
 "09000","Connecticut",1,SARPI,1,"..."," Real personal income (millions of constant (2017) dollars) 1/","Millions of constant 2017 dollars",218132.7,215838.8,227267.1,226456.7,225573.1,217200.1,224548.0,228980.2,231197.5,233182.3,246000.2,249219.5,250658.2,264804.1,250541.0,261987.8,272888.7
 "10000","Delaware",2,SARPI,1,"..."," Real personal income (millions of constant (2017) dollars) 1/","Millions of constant 2017 dollars",40619.4,40385.2,40290.4,42715.8,42684.5,43117.1,43864.3,46921.0,47554.4,48924.4,50605.7,51688.2,54508.4,56795.2,57533.7,56292.2,58050.3
 "11000","District of Columbia",2,SARPI,1,"..."," Real personal income (millions of constant (2017) dollars) 1/","Millions of constant 2017 dollars",35127.0,35409.2,37010.4,39130.2,40400.3,39794.2,41624.1,45188.4,47338.6,49285.4,49747.8,50962.4,52601.7,54132.6,52270.8,54979.2,57494.6
